,manualDown,DTB-RF-OptADPT,BiLO-CPDP
ant-1.7.csv,0.867,0.968565634,0.80006
Apache.csv,0.776,0.802295364,0.74808
camel-1.6.csv,0.655,0.962104669,0.62228
EQ.csv,0.781,0.729785745,0.71714
ivy-2.0.csv,0.837,0.735790148,0.80657
JDT.csv,0.781,0.774171478,0.73705
jEdit-4.3.csv,0.651,0.810185313,0.85207
LC.csv,0.655,0.77342606,0.70859
log4j-1.2.csv,0.739,0.797624784,0.84196
lucene-2.4.csv,0.731,0.726687041,0.71065
ML.csv,0.692,0.669700518,0.64966
PDE.csv,0.717,0.688958352,0.68539
poi-3.0.csv,0.83,0.801278884,0.81703
Safe.csv,0.834,0.568453628,0.79923
synapse-1.2.csv,0.765,0.960349033,0.71999
Tomcat-6.0.csv,0.843,0.796659978,0.77295
velocity-1.6.1.csv,0.714,0.739354841,0.7022
xalan-2.7.0.csv,0.783,0.727077169,0.7625
xerces-1.4.4.csv,0.681,0.701001417,0.71552
Zxing.csv,0.661,0.709751596,0.63949
