,ManualDown-AUC,ManualDown-F1,TBE-HG-AUC,TBE-HG-F1
camel-1.4.csv,0.681,0.344,0.567,0.309
camel-1.6.csv,0.62,0.346,0.614,0.385
jedit-4.0.csv,0.766,0.491,0.717,0.536
jedit-4.1.csv,0.805,0.545,0.679,0.525
jedit-4.2.csv,0.83,0.381,0.603,0.297
log4j-1.1.csv,0.799,0.681,0.729,0.65
lucene-2.2.csv,0.632,0.607,0.597,0.683
lucene-2.4.csv,0.668,0.627,0.651,0.664
poi-2.0.csv,0.669,0.237,0.586,0.251
poi-3.0.csv,0.785,0.717,0.658,0.717
synapse-1.2.csv,0.76,0.589,0.566,0.498
velocity-1.6.csv,0.694,0.552,0.697,0.618
xalan-2.5.csv,0.651,0.607,0.608,0.632
xalan-2.6.csv,0.787,0.703,0.641,0.594
xalan-2.7.csv,0.803,0.67,0.738,0.644
