,manualDown-AUC,manualDown-MCC,MASTER-AUC,MASTER-MCC
activemq-5.0.0.csv,0.777,0.265,0.808,0.443
ant-1.3.csv,0.817,0.353,0.848,0.422
Apache.csv,0.776,0.474,0.725,0.398
camel-1.6.csv,0.596,0.089,0.613,0.163
corefx.csv,0.523,0.031,0.654,0.118
derby-10.5.1.1.csv,0.782,0.259,0.789,0.307
django.csv,0.433,-0.097,0.685,0.32
EQ.csv,0.698,0.253,0.701,0.273
groovy-1_6_BETA_1.csv,0.726,0.17,0.76,0.264
hbase-0.94.0.csv,0.763,0.318,0.782,0.344
hive-0.9.0.csv,0.81,0.315,0.813,0.461
ivy-2.0.csv,0.817,0.273,0.826,0.38
JDT.csv,0.779,0.29,0.817,0.42
jedit-4.1.csv,0.802,0.364,0.8,0.516
jruby-1.1.csv,0.866,0.299,0.874,0.406
log4j-1.2.csv,0.471,-0.057,0.615,0.124
Lucene.csv,0.652,0.111,0.781,0.336
Mylyn.csv,0.702,0.189,0.644,0.219
nova.csv,0.584,0.121,0.704,0.314
PDE.csv,0.715,0.215,0.729,0.237
poi-2.0.csv,0.665,0.106,0.69,0.192
prop-6.csv,0.684,0.175,0.675,0.214
Safe.csv,0.834,0.439,0.808,0.507
synapse-1.2.csv,0.75,0.3,0.696,0.355
tomcat.csv,0.804,0.234,0.78,0.304
velocity-1.4.csv,0.405,-0.118,0.507,0.076
wicket-1.3.0-beta2.csv,0.827,0.238,0.824,0.306
xalan-2.4.csv,0.798,0.331,0.778,0.364
xerces-1.2.csv,0.466,-0.015,0.51,0.104
Zxing.csv,0.662,0.251,0.639,0.12
